,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
54,63,20,30,DSBC-63-30-PPSA-N3,15552,Festo,219.1,"M16x1,5",G3/8,56.5,M8,12
55,63,20,200,DSBC-63-200-PPSA-N3,15552,Festo,389.1,"M16x1,5",G3/8,56.5,M8,12
56,63,20,100,DSBC-63-100-PPSA-N3,15552,Festo,289.1,"M16x1,5",G3/8,56.5,M8,12
57,63,20,80,DSBC-63-80-PPSA-N3,15552,Festo,269.1,"M16x1,5",G3/8,56.5,M8,12
58,63,20,70,DSBC-63-70-PPSA-N3,15552,Festo,259.1,"M16x1,5",G3/8,56.5,M8,12
59,63,20,60,DSBC-63-60-PPSA-N3,15552,Festo,249.1,"M16x1,5",G3/8,56.5,M8,12
60,63,20,50,DSBC-63-50-PPSA-N3,15552,Festo,239.1,"M16x1,5",G3/8,56.5,M8,12
61,63,20,40,DSBC-63-40-PPSA-N3,15552,Festo,229.1,"M16x1,5",G3/8,56.5,M8,12
62,63,20,20,DSBC-63-20-PPSA-N3,15552,Festo,209.1,"M16x1,5",G3/8,56.5,M8,12
63,63,20,25,DSBC-63-25-PPSA-N3,15552,Festo,214.1,"M16x1,5",G3/8,56.5,M8,12
64,63,20,320,DSBC-63-320-PPSA-N3,15552,Festo,509.1,"M16x1,5",G3/8,56.5,M8,12
65,63,20,400,DSBC-63-400-PPSA-N3,15552,Festo,589.1,"M16x1,5",G3/8,56.5,M8,12
66,63,20,300,DSBC-63-300-PPSA-N3,15552,Festo,489.1,"M16x1,5",G3/8,56.5,M8,12
67,63,20,500,DSBC-63-500-PPSA-N3,15552,Festo,689.1,"M16x1,5",G3/8,56.5,M8,12
68,63,20,250,DSBC-63-250-PPSA-N3,15552,Festo,439.1,"M16x1,5",G3/8,56.5,M8,12
69,63,20,160,DSBC-63-160-PPSA-N3,15552,Festo,349.1,"M16x1,5",G3/8,56.5,M8,12
70,63,20,150,DSBC-63-150-PPSA-N3,15552,Festo,339.1,"M16x1,5",G3/8,56.5,M8,12
71,63,20,125,DSBC-63-125-PPSA-N3,15552,Festo,314.1,"M16x1,5",G3/8,56.5,M8,12
72,80,25,250,DSBC-80-250-PPSA-N3,15552,Festo,463.6,"M20x1,5",G3/8,72.0,M10,12
73,80,25,160,DSBC-80-160-PPSA-N3,15552,Festo,373.6,"M20x1,5",G3/8,72.0,M10,12
74,80,25,125,DSBC-80-125-PPSA-N3,15552,Festo,338.6,"M20x1,5",G3/8,72.0,M10,12
75,80,25,400,DSBC-80-400-PPSA-N3,15552,Festo,613.6,"M20x1,5",G3/8,72.0,M10,12
76,80,25,200,DSBC-80-200-PPSA-N3,15552,Festo,413.6,"M20x1,5",G3/8,72.0,M10,12
77,80,25,500,DSBC-80-500-PPSA-N3,15552,Festo,713.6,"M20x1,5",G3/8,72.0,M10,12
78,80,25,300,DSBC-80-300-PPSA-N3,15552,Festo,513.6,"M20x1,5",G3/8,72.0,M10,12
79,80,25,320,DSBC-80-320-PPSA-N3,15552,Festo,533.6,"M20x1,5",G3/8,72.0,M10,12
80,80,25,70,DSBC-80-70-PPSA-N3,15552,Festo,283.6,"M20x1,5",G3/8,72.0,M10,12
81,80,25,80,DSBC-80-80-PPSA-N3,15552,Festo,293.6,"M20x1,5",G3/8,72.0,M10,12
82,80,25,60,DSBC-80-60-PPSA-N3,15552,Festo,273.6,"M20x1,5",G3/8,72.0,M10,12
83,80,25,50,DSBC-80-50-PPSA-N3,15552,Festo,263.6,"M20x1,5",G3/8,72.0,M10,12
84,80,25,25,DSBC-80-25-PPSA-N3,15552,Festo,238.6,"M20x1,5",G3/8,72.0,M10,12
85,80,25,20,DSBC-80-20-PPSA-N3,15552,Festo,233.6,"M20x1,5",G3/8,72.0,M10,12
86,80,25,30,DSBC-80-30-PPSA-N3,15552,Festo,243.6,"M20x1,5",G3/8,72.0,M10,12
87,80,25,40,DSBC-80-40-PPSA-N3,15552,Festo,253.6,"M20x1,5",G3/8,72.0,M10,12
88,80,25,100,DSBC-80-100-PPSA-N3,15552,Festo,313.6,"M20x1,5",G3/8,72.0,M10,12
89,80,25,150,DSBC-80-150-PPSA-N3,15552,Festo,363.6,"M20x1,5",G3/8,72.0,M10,12
90,100,25,40,DSBC-100-40-PPSA-N3,15552,Festo,267.5,"M20x1,5",G1/2,89.0,M10,12
91,100,25,30,DSBC-100-30-PPSA-N3,15552,Festo,257.5,"M20x1,5",G1/2,89.0,M10,12
92,100,25,70,DSBC-100-70-PPSA-N3,15552,Festo,297.5,"M20x1,5",G1/2,89.0,M10,12
93,100,25,60,DSBC-100-60-PPSA-N3,15552,Festo,287.5,"M20x1,5",G1/2,89.0,M10,12
94,100,25,80,DSBC-100-80-PPSA-N3,15552,Festo,307.5,"M20x1,5",G1/2,89.0,M10,12
95,100,25,100,DSBC-100-100-PPSA-N3,15552,Festo,327.5,"M20x1,5",G1/2,89.0,M10,12
96,100,25,400,DSBC-100-400-PPSA-N3,15552,Festo,627.5,"M20x1,5",G1/2,89.0,M10,12
97,100,25,250,DSBC-100-250-PPSA-N3,15552,Festo,477.5,"M20x1,5",G1/2,89.0,M10,12
